ip,cidr,hostname,owner,note,status
10.0.1.1,10.0.1.0/24,gw-hq-mgmt.corp.example.com,Network Ops,Default gateway — HQ Management,reserved
10.0.1.2,10.0.1.0/24,dns1-hq-mgmt.corp.example.com,Network Ops,Primary DNS — HQ Management,reserved
10.0.1.3,10.0.1.0/24,dns2-hq-mgmt.corp.example.com,Network Ops,Secondary DNS — HQ Management,reserved
10.0.1.4,10.0.1.0/24,dhcp-hq-mgmt.corp.example.com,Network Ops,DHCP server — HQ Management,reserved
10.0.1.5,10.0.1.0/24,web01-hq-mgmt.corp.example.com,Network Ops,Web server — SELinux enforcing,used
10.0.1.6,10.0.1.0/24,db02-hq-mgmt.corp.example.com,Network Ops,Db server — Staging,used
10.0.1.7,10.0.1.0/24,app03-hq-mgmt.corp.example.com,Network Ops,App server — Production,used
10.0.1.8,10.0.1.0/24,api04-hq-mgmt.corp.example.com,Network Ops,Api server — Windows Server 2022,used
10.0.1.9,10.0.1.0/24,mail05-hq-mgmt.corp.example.com,Network Ops,Mail server — HA pair node B,used
10.0.1.10,10.0.1.0/24,vpn06-hq-mgmt.corp.example.com,Network Ops,Vpn server — HA pair node A,used
10.0.1.11,10.0.1.0/24,proxy07-hq-mgmt.corp.example.com,Network Ops,Proxy server — HA pair node A,used
10.0.1.12,10.0.1.0/24,nfs08-hq-mgmt.corp.example.com,Network Ops,Nfs server — DR standby,used
10.0.1.13,10.0.1.0/24,ldap09-hq-mgmt.corp.example.com,Network Ops,Ldap server — Windows Server 2022,used
10.0.1.14,10.0.1.0/24,radius10-hq-mgmt.corp.example.com,Network Ops,Radius server — Staging,used
10.0.1.15,10.0.1.0/24,syslog11-hq-mgmt.corp.example.com,Network Ops,Syslog server — SELinux enforcing,used
10.0.1.16,10.0.1.0/24,monitor12-hq-mgmt.corp.example.com,Network Ops,Monitor server — Windows Server 2022,used
10.0.1.17,10.0.1.0/24,backup13-hq-mgmt.corp.example.com,Network Ops,Backup server — Ansible-managed,used
10.0.1.18,10.0.1.0/24,ansible14-hq-mgmt.corp.example.com,Network Ops,Ansible server — Legacy system,used
10.0.1.19,10.0.1.0/24,git15-hq-mgmt.corp.example.com,Network Ops,Git server — Staging,used
10.0.1.20,10.0.1.0/24,ci16-hq-mgmt.corp.example.com,Network Ops,Ci server — Patched 2026-03,used
10.0.1.21,10.0.1.0/24,artifact17-hq-mgmt.corp.example.com,Network Ops,Artifact server — Rebuilt 2026-01,used
10.0.1.22,10.0.1.0/24,vault18-hq-mgmt.corp.example.com,Network Ops,Vault server — Production,used
10.0.1.23,10.0.1.0/24,kafka19-hq-mgmt.corp.example.com,Network Ops,Kafka server — Production,used
10.0.1.24,10.0.1.0/24,redis20-hq-mgmt.corp.example.com,Network Ops,Redis server — Staging,used
10.0.1.25,10.0.1.0/24,elastic21-hq-mgmt.corp.example.com,Network Ops,Elastic server — HA pair node A,used
10.0.1.26,10.0.1.0/24,kibana22-hq-mgmt.corp.example.com,Network Ops,Kibana server — HA pair node A,used
10.0.1.27,10.0.1.0/24,grafana23-hq-mgmt.corp.example.com,Network Ops,Grafana server — Legacy system,used
10.0.1.28,10.0.1.0/24,zabbix24-hq-mgmt.corp.example.com,Network Ops,Zabbix server — Patched 2026-03,used
10.0.1.29,10.0.1.0/24,netbox25-hq-mgmt.corp.example.com,Network Ops,Netbox server — Production,used
10.0.1.30,10.0.1.0/24,wiki26-hq-mgmt.corp.example.com,Network Ops,Wiki server — Legacy system,used
10.0.1.31,10.0.1.0/24,jira27-hq-mgmt.corp.example.com,Network Ops,Jira server — HA pair node A,used
10.0.1.32,10.0.1.0/24,confluence28-hq-mgmt.corp.example.com,Network Ops,Confluence server — Windows Server 2022,used
10.0.1.33,10.0.1.0/24,nexus29-hq-mgmt.corp.example.com,Network Ops,Nexus server — SELinux enforcing,used
10.0.1.34,10.0.1.0/24,harbor30-hq-mgmt.corp.example.com,Network Ops,Harbor server — Windows Server 2022,used
10.0.1.35,10.0.1.0/24,k8s-master31-hq-mgmt.corp.example.com,Network Ops,K8S-Master server — Legacy system,used
10.0.1.36,10.0.1.0/24,k8s-worker32-hq-mgmt.corp.example.com,Network Ops,K8S-Worker server — Rebuilt 2026-01,used
10.0.1.37,10.0.1.0/24,etcd33-hq-mgmt.corp.example.com,Network Ops,Etcd server — HA pair node A,used
10.0.1.38,10.0.1.0/24,web34-hq-mgmt.corp.example.com,Network Ops,Web server — New build,used
10.0.1.39,10.0.1.0/24,db35-hq-mgmt.corp.example.com,Network Ops,Db server — Patched 2026-03,used
10.0.1.40,10.0.1.0/24,app36-hq-mgmt.corp.example.com,Network Ops,App server — HA pair node B,used
10.0.1.41,10.0.1.0/24,api37-hq-mgmt.corp.example.com,Network Ops,Api server — Ubuntu 24.04 LTS,used
10.0.1.42,10.0.1.0/24,mail38-hq-mgmt.corp.example.com,Network Ops,Mail server — RHEL 9.2,used
10.0.1.43,10.0.1.0/24,vpn39-hq-mgmt.corp.example.com,Network Ops,Vpn server — Production,used
10.0.1.44,10.0.1.0/24,proxy40-hq-mgmt.corp.example.com,Network Ops,Proxy server — Ubuntu 24.04 LTS,used
10.0.1.45,10.0.1.0/24,nfs41-hq-mgmt.corp.example.com,Network Ops,Nfs server — Ubuntu 24.04 LTS,used
10.0.1.46,10.0.1.0/24,ldap42-hq-mgmt.corp.example.com,Network Ops,Ldap server — DR standby,used
10.0.1.47,10.0.1.0/24,radius43-hq-mgmt.corp.example.com,Network Ops,Radius server — Windows Server 2022,used
10.0.1.48,10.0.1.0/24,syslog44-hq-mgmt.corp.example.com,Network Ops,Syslog server — Rebuilt 2026-01,used
10.0.1.49,10.0.1.0/24,monitor45-hq-mgmt.corp.example.com,Network Ops,Monitor server — Scheduled for decom Q3,used
10.0.1.50,10.0.1.0/24,backup46-hq-mgmt.corp.example.com,Network Ops,Backup server — HA pair node B,used
10.0.1.51,10.0.1.0/24,ansible47-hq-mgmt.corp.example.com,Network Ops,Ansible server — DR standby,used
10.0.1.52,10.0.1.0/24,git48-hq-mgmt.corp.example.com,Network Ops,Git server — HA pair node A,used
10.0.1.53,10.0.1.0/24,ci49-hq-mgmt.corp.example.com,Network Ops,Ci server — Ubuntu 24.04 LTS,used
10.0.1.54,10.0.1.0/24,artifact50-hq-mgmt.corp.example.com,Network Ops,Artifact server — Scheduled for decom Q3,used
10.0.1.55,10.0.1.0/24,vault51-hq-mgmt.corp.example.com,Network Ops,Vault server — Staging,used
10.0.1.56,10.0.1.0/24,kafka52-hq-mgmt.corp.example.com,Network Ops,Kafka server — Staging,used
10.0.1.57,10.0.1.0/24,redis53-hq-mgmt.corp.example.com,Network Ops,Redis server — Rebuilt 2026-01,used
10.0.1.58,10.0.1.0/24,elastic54-hq-mgmt.corp.example.com,Network Ops,Elastic server — Staging,used
10.0.1.59,10.0.1.0/24,kibana55-hq-mgmt.corp.example.com,Network Ops,Kibana server — Scheduled for decom Q3,used
10.0.1.60,10.0.1.0/24,grafana56-hq-mgmt.corp.example.com,Network Ops,Grafana server — RHEL 9.2,used
10.0.1.61,10.0.1.0/24,zabbix57-hq-mgmt.corp.example.com,Network Ops,Zabbix server — Scheduled for decom Q3,used
10.0.1.62,10.0.1.0/24,netbox58-hq-mgmt.corp.example.com,Network Ops,Netbox server — Patched 2026-03,used
10.0.1.63,10.0.1.0/24,wiki59-hq-mgmt.corp.example.com,Network Ops,Wiki server — HA pair node B,used
10.0.1.64,10.0.1.0/24,jira60-hq-mgmt.corp.example.com,Network Ops,Jira server — Ubuntu 24.04 LTS,used
10.0.1.65,10.0.1.0/24,confluence61-hq-mgmt.corp.example.com,Network Ops,Confluence server — Production,used
10.0.1.66,10.0.1.0/24,nexus62-hq-mgmt.corp.example.com,Network Ops,Nexus server — Windows Server 2022,used
10.0.1.67,10.0.1.0/24,harbor63-hq-mgmt.corp.example.com,Network Ops,Harbor server — New build,used
10.0.1.68,10.0.1.0/24,k8s-master64-hq-mgmt.corp.example.com,Network Ops,K8S-Master server — Legacy system,used
10.0.1.69,10.0.1.0/24,k8s-worker65-hq-mgmt.corp.example.com,Network Ops,K8S-Worker server — Staging,used
10.0.1.70,10.0.1.0/24,etcd66-hq-mgmt.corp.example.com,Network Ops,Etcd server — Ansible-managed,used
10.0.1.71,10.0.1.0/24,web67-hq-mgmt.corp.example.com,Network Ops,Web server — Rebuilt 2026-01,used
10.0.1.72,10.0.1.0/24,db68-hq-mgmt.corp.example.com,Network Ops,Db server — Staging,used
10.0.1.73,10.0.1.0/24,app69-hq-mgmt.corp.example.com,Network Ops,App server — Legacy system,used
10.0.1.74,10.0.1.0/24,api70-hq-mgmt.corp.example.com,Network Ops,Api server — HA pair node B,used
10.0.1.75,10.0.1.0/24,mail71-hq-mgmt.corp.example.com,Network Ops,Mail server — RHEL 9.2,used
10.0.1.76,10.0.1.0/24,vpn72-hq-mgmt.corp.example.com,Network Ops,Vpn server — SELinux enforcing,used
10.0.1.77,10.0.1.0/24,proxy73-hq-mgmt.corp.example.com,Network Ops,Proxy server — Patched 2026-03,used
10.0.1.78,10.0.1.0/24,nfs74-hq-mgmt.corp.example.com,Network Ops,Nfs server — Ansible-managed,used
10.0.1.79,10.0.1.0/24,ldap75-hq-mgmt.corp.example.com,Network Ops,Ldap server — RHEL 9.2,used
10.0.1.80,10.0.1.0/24,radius76-hq-mgmt.corp.example.com,Network Ops,Radius server — Scheduled for decom Q3,used
10.0.1.81,10.0.1.0/24,syslog77-hq-mgmt.corp.example.com,Network Ops,Syslog server — Patched 2026-03,used
10.0.1.82,10.0.1.0/24,monitor78-hq-mgmt.corp.example.com,Network Ops,Monitor server — HA pair node A,used
10.0.1.83,10.0.1.0/24,backup79-hq-mgmt.corp.example.com,Network Ops,Backup server — Windows Server 2022,used
10.0.1.84,10.0.1.0/24,ansible80-hq-mgmt.corp.example.com,Network Ops,Ansible server — Staging,used
10.0.1.85,10.0.1.0/24,git81-hq-mgmt.corp.example.com,Network Ops,Git server — Production,used
10.0.1.86,10.0.1.0/24,ci82-hq-mgmt.corp.example.com,Network Ops,Ci server — SELinux enforcing,used
10.0.1.87,10.0.1.0/24,artifact83-hq-mgmt.corp.example.com,Network Ops,Artifact server — HA pair node A,used
10.0.1.88,10.0.1.0/24,vault84-hq-mgmt.corp.example.com,Network Ops,Vault server — Ubuntu 24.04 LTS,used
10.0.1.89,10.0.1.0/24,kafka85-hq-mgmt.corp.example.com,Network Ops,Kafka server — HA pair node B,used
10.0.1.90,10.0.1.0/24,redis86-hq-mgmt.corp.example.com,Network Ops,Redis server — Staging,used
10.0.1.91,10.0.1.0/24,elastic87-hq-mgmt.corp.example.com,Network Ops,Elastic server — RHEL 9.2,used
10.0.1.92,10.0.1.0/24,kibana88-hq-mgmt.corp.example.com,Network Ops,Kibana server — HA pair node A,used
10.0.1.93,10.0.1.0/24,grafana89-hq-mgmt.corp.example.com,Network Ops,Grafana server — RHEL 9.2,used
10.0.1.94,10.0.1.0/24,zabbix90-hq-mgmt.corp.example.com,Network Ops,Zabbix server — Staging,used
10.0.1.95,10.0.1.0/24,netbox91-hq-mgmt.corp.example.com,Network Ops,Netbox server — Rebuilt 2026-01,used
10.0.1.96,10.0.1.0/24,wiki92-hq-mgmt.corp.example.com,Network Ops,Wiki server — HA pair node B,used
10.0.1.97,10.0.1.0/24,jira93-hq-mgmt.corp.example.com,Network Ops,Jira server — New build,used
10.0.1.98,10.0.1.0/24,confluence94-hq-mgmt.corp.example.com,Network Ops,Confluence server — SELinux enforcing,used
10.0.1.99,10.0.1.0/24,nexus95-hq-mgmt.corp.example.com,Network Ops,Nexus server — RHEL 9.2,used
10.0.1.100,10.0.1.0/24,harbor96-hq-mgmt.corp.example.com,Network Ops,Harbor server — Scheduled for decom Q3,used
10.0.1.101,10.0.1.0/24,k8s-master97-hq-mgmt.corp.example.com,Network Ops,K8S-Master server — DR standby,used
10.0.1.102,10.0.1.0/24,k8s-worker98-hq-mgmt.corp.example.com,Network Ops,K8S-Worker server — Scheduled for decom Q3,used
10.0.1.103,10.0.1.0/24,etcd99-hq-mgmt.corp.example.com,Network Ops,Etcd server — Scheduled for decom Q3,used
10.0.1.104,10.0.1.0/24,web100-hq-mgmt.corp.example.com,Network Ops,Web server — HA pair node A,used
10.0.1.105,10.0.1.0/24,db101-hq-mgmt.corp.example.com,Network Ops,Db server — SELinux enforcing,used
10.0.1.106,10.0.1.0/24,app102-hq-mgmt.corp.example.com,Network Ops,App server — HA pair node B,used
10.0.1.107,10.0.1.0/24,api103-hq-mgmt.corp.example.com,Network Ops,Api server — Windows Server 2022,used
10.0.1.108,10.0.1.0/24,mail104-hq-mgmt.corp.example.com,Network Ops,Mail server — Ansible-managed,used
10.0.1.109,10.0.1.0/24,vpn105-hq-mgmt.corp.example.com,Network Ops,Vpn server — SELinux enforcing,used
10.0.1.110,10.0.1.0/24,proxy106-hq-mgmt.corp.example.com,Network Ops,Proxy server — SELinux enforcing,used
10.0.1.111,10.0.1.0/24,nfs107-hq-mgmt.corp.example.com,Network Ops,Nfs server — Staging,used
10.0.1.112,10.0.1.0/24,ldap108-hq-mgmt.corp.example.com,Network Ops,Ldap server — Patched 2026-03,used
10.0.1.113,10.0.1.0/24,radius109-hq-mgmt.corp.example.com,Network Ops,Radius server — SELinux enforcing,used
10.0.1.114,10.0.1.0/24,syslog110-hq-mgmt.corp.example.com,Network Ops,Syslog server — DR standby,used
10.0.1.115,10.0.1.0/24,monitor111-hq-mgmt.corp.example.com,Network Ops,Monitor server — Legacy system,used
10.0.1.116,10.0.1.0/24,backup112-hq-mgmt.corp.example.com,Network Ops,Backup server — Windows Server 2022,used
10.0.1.117,10.0.1.0/24,ansible113-hq-mgmt.corp.example.com,Network Ops,Ansible server — HA pair node A,used
10.0.1.118,10.0.1.0/24,git114-hq-mgmt.corp.example.com,Network Ops,Git server — DR standby,used
10.0.1.119,10.0.1.0/24,ci115-hq-mgmt.corp.example.com,Network Ops,Ci server — New build,used
10.0.1.120,10.0.1.0/24,artifact116-hq-mgmt.corp.example.com,Network Ops,Artifact server — Rebuilt 2026-01,used
10.0.1.121,10.0.1.0/24,vault117-hq-mgmt.corp.example.com,Network Ops,Vault server — HA pair node B,used
10.0.1.122,10.0.1.0/24,kafka118-hq-mgmt.corp.example.com,Network Ops,Kafka server — Ansible-managed,used
10.0.1.123,10.0.1.0/24,redis119-hq-mgmt.corp.example.com,Network Ops,Redis server — SELinux enforcing,used
10.0.1.124,10.0.1.0/24,elastic120-hq-mgmt.corp.example.com,Network Ops,Elastic server — Windows Server 2022,used
10.0.1.125,10.0.1.0/24,kibana121-hq-mgmt.corp.example.com,Network Ops,Kibana server — Legacy system,used
10.0.1.126,10.0.1.0/24,grafana122-hq-mgmt.corp.example.com,Network Ops,Grafana server — HA pair node A,used
10.0.1.127,10.0.1.0/24,zabbix123-hq-mgmt.corp.example.com,Network Ops,Zabbix server — SELinux enforcing,used
10.0.1.128,10.0.1.0/24,netbox124-hq-mgmt.corp.example.com,Network Ops,Netbox server — Scheduled for decom Q3,used
10.0.1.129,10.0.1.0/24,wiki125-hq-mgmt.corp.example.com,Network Ops,Wiki server — RHEL 9.2,used
10.0.1.130,10.0.1.0/24,jira126-hq-mgmt.corp.example.com,Network Ops,Jira server — Ubuntu 24.04 LTS,used
10.0.1.131,10.0.1.0/24,confluence127-hq-mgmt.corp.example.com,Network Ops,Confluence server — Ubuntu 24.04 LTS,used
10.0.1.132,10.0.1.0/24,nexus128-hq-mgmt.corp.example.com,Network Ops,Nexus server — Production,used
10.0.1.133,10.0.1.0/24,harbor129-hq-mgmt.corp.example.com,Network Ops,Harbor server — HA pair node A,used
10.0.1.134,10.0.1.0/24,k8s-master130-hq-mgmt.corp.example.com,Network Ops,K8S-Master server — RHEL 9.2,used
